founder_id,name,genome
0,Ancestor ancestor [Ancestor],128;128;128;128;128;128
1,Aggresso virido [Bacteria],220;120;220;50;50;220;240;1;2
2,Virido rubra [Algae],180;200;50;220;50;120;0
3,Caeruleo virido [Fungi],160;180;120;50;220;200;3
4,Aggresso rubra [Protozoa],210;140;50;50;220;240;240;0;1;2
4098,Energo caeruleo [Bacteria],220;213;129;179;86;220;178;60;122
2058,Caeruleo virido [Protozoa],210;169;97;26;220;161;112;158;1;2
2066,Virido celer [Protozoa],67;140;50;251;220;240;1;248;1;233
4117,Rubra virido [Bacteria],182;210;220;50;50;220;64;97;208
2074,Caeruleo celer [Bacteria],197;120;220;168;248;17;38;1;126
4127,Virido senecto [Protozoa],181;41;87;215;95;125;151;51;99;186
2081,Energo virido [Protozoa],240;140;50;34;220;227;240;252;1;100
2092,Aggresso rubra [Protozoa],147;174;35;49;220;237;87;205;1;2
2094,Celer rubra [Protozoa],210;140;28;165;114;96;240;81;188;2
4147,Caeruleo rubra [Protozoa],111;99;50;50;251;240;194;0;202;2
4149,Energo caeruleo [Bacteria],220;120;152;122;50;208;197;1;96
2115,Virido caeruleo [Bacteria],99;120;216;220;50;220;51;243;2
2121,Virido energo [Protozoa],11;140;50;253;220;135;23;186;25;2
4183,Energo aggresso [Bacteria],220;88;220;205;170;220;33;1;2
2153,Aggresso caeruleo [Bacteria],220;230;220;53;50;220;232;93;196
2155,Aggresso celer [Protozoa],210;111;50;204;94;240;18;194;1;2
2159,Aggresso rubra [Protozoa],154;101;2;44;69;241;56;222;181;160
2162,Celer virido [Bacteria],238;144;196;31;46;242;213;112;0
4211,Senecto caeruleo [Bacteria],184;253;207;187;23;82;240;57;2
2166,Celer caeruleo [Bacteria],220;140;96;166;50;240;240;193;206
2168,Aggresso caeruleo [Protozoa],181;140;50;61;1;240;87;229;153;122
2176,Energo virido [Bacteria],229;120;130;4;50;118;127;210;2
2185,Rubra virido [Bacteria],85;120;254;50;221;145;242;1;2
4235,Aggresso celer [Protozoa],210;140;195;50;98;232;11;100;1;2
4237,Celer energo [Bacteria],89;93;151;207;205;243;197;164;134
145,Celer senecto [Protozoa],210;29;50;50;169;152;240;53;1;2
4244,Virido rubra [Protozoa],181;140;117;242;208;240;240;8;1;233
4249,Rubra senecto [Bacteria],188;22;220;204;140;220;92;137;2
4262,Rubra caeruleo [Bacteria],99;78;220;181;50;220;154;1;138
168,Aggresso virido [Bacteria],166;219;220;50;50;197;240;1;2
4269,Energo senecto [Bacteria],249;19;220;26;50;192;240;134;2
2223,Aggresso virido [Bacteria],220;99;220;50;144;145;240;212;2
